仕入先,出典ファイル,商品名_見積準拠,EEZO商品名,規格内容,温度帯,仕入単価_値,仕入単価_税区分,参考上代_値,参考上代_税区分,箱代等_値,箱代等_税区分,仕入送料区分,内容量,賞味期限,保存方法,発注ロット,リードタイム,JANコード,アレルゲン,産地,商品特徴,税率_明記,想定販売価格_税込,備考
ニキヒルズワイナリー,新日本海商事様.pdf,FruityWeekend 720ml 2本セット（赤キャンベル＋白ナイアガラ＆ポートランド）,,720ml×2,常温,3640,税抜,5200,税抜,,,産直別途,720ml×2,,,,,,,北海道仁木町,NIKI HILLSのノンアルコール(ジュース)。常温便,8,5420,ノンアル=8%。ゆうパック60サイズ近畿=1212円(税込)→税抜1101.8182。販売価格=粗利20%(送料込)
ニキヒルズワイナリー,新日本海商事様.pdf,FruityWeekend 720ml 6本セット 白：ナイアガラ＆ポートランド,,720ml×6,常温,10920,税抜,15600,税抜,,,産直別途,720ml×6,,,,,,,北海道仁木町,NIKI HILLSのノンアルコール(ジュース)。常温便,8,15460,ノンアル=8%。ゆうパック80サイズ近畿=1383円(税込)→税抜1257.2727。販売価格=粗利20%(送料込)
ニキヒルズワイナリー,新日本海商事様.pdf,FruityWeekend 720ml 6本セット 赤：キャンベル・アーリー,,720ml×6,常温,10920,税抜,15600,税抜,,,産直別途,720ml×6,,,,,,,北海道仁木町,NIKI HILLSのノンアルコール(ジュース)。常温便,8,15460,ノンアル=8%。ゆうパック80サイズ近畿=1383円(税込)→税抜1257.2727。販売価格=粗利20%(送料込)
ニキヒルズワイナリー,新日本海商事様.pdf,ノンアルコールスパークリング（ナイアガラ、ポートランド）200ml 24本セット,,200ml×24,常温,12600,税抜,18000,税抜,,,産直別途,200ml×24,,,,,,,北海道仁木町,NIKI HILLSのノンアルコール(ジュース)。常温便,8,17730,ノンアル=8%。ゆうパック80サイズ近畿=1383円(税込)→税抜1257.2727。販売価格=粗利20%(送料込)
