仕入先,出典ファイル,商品名_見積準拠,EEZO商品名,規格内容,温度帯,仕入単価_値,仕入単価_税区分,参考上代_値,参考上代_税区分,箱代等_値,箱代等_税区分,仕入送料区分,内容量,賞味期限,保存方法,発注ロット,リードタイム,JANコード,アレルゲン,産地,商品特徴,税率_明記,想定販売価格_税込,備考
トワヴェール・フジタ,20260525新日本海商事様アイスセットお見積り.pdf,リッチアイス18個セット,,リッチアイス100ml：ミルク×6/カシス×4/チョコレート×4/ラムレーズン×4（計18個）＋スーパー蓄冷材・発泡（蓋12個用）・アソート箱,,6570,税抜,8700,税抜,,,不明,100ml×18個,,,,,,,北海道黒松内町,,,,工場出荷・ヤマト運輸配送。見積価格に別途消費税加算。受注から発送まで7日間。月曜（祝日翌日）発送不可。送料込/別の明記なし
トワヴェール・フジタ,20260525新日本海商事様アイスセットお見積り.pdf,リッチアイス12個セット,,リッチアイス100ml：ミルク×3/カシス×3/チョコレート×3/ラムレーズン×3（計12個）＋スーパー蓄冷材・発泡（蓋12個用）・アソート箱,,5100,税抜,6600,税抜,,,不明,100ml×12個,,,,,,,北海道黒松内町,,,,工場出荷・ヤマト運輸配送。見積価格に別途消費税加算。受注から発送まで7日間。月曜（祝日翌日）発送不可。送料込/別の明記なし
