仕入先,出典ファイル,商品名_見積準拠,EEZO商品名,規格内容,温度帯,仕入単価_値,仕入単価_税区分,参考上代_値,参考上代_税区分,箱代等_値,箱代等_税区分,仕入送料区分,内容量,賞味期限,保存方法,発注ロット,リードタイム,JANコード,アレルゲン,産地,商品特徴,税率_明記,想定販売価格_税込,備考
みにとまとん,見積詳細まとめ（みにとまとん）.xlsx,みにとまとん 惣菜系 焼菓子セット,,帆立しょうゆマドレーヌ×2/あんかけ焼きそばクッキー×2/にしんクラッカー×2/スープカレークッキー×2/昆布ランタン×2/うこん&シナモンクッキー×2/しょうがぼーろ×2/箱代込（計15個）,,2730,税込,3900,税込,,,産直別途,,,,,,,,北海道小樽市,,,,商事仕入=一般売値の7掛け。いずれも税込・送料別・箱代込。買取（6月末締め7月末払い）。にんにくオイル&ソルトは撮影レンタル
みにとまとん,見積詳細まとめ（みにとまとん）.xlsx,みにとまとん お菓子系 焼菓子セット,,焼きいもクッキー×2/ゆきまる×2/ワインレーズンとココナッツのクッキー×2/とうきびクッキー×2/酒粕ガレットブルトンヌ×2/おたる水族館非公認あざらしクッキー×1/森の中のシマエナガクッキー×1/紅茶とワインレーズンのフィナンシェ×2/5倍味噌麹とオートミールのクッキー×1/箱代込（計16個）,,2730,税込,3900,税込,,,産直別途,,,,,,,,北海道小樽市,,,,商事仕入=一般売値の7掛け。いずれも税込・送料別・箱代込。買取（6月末締め7月末払い）。にんにくオイル&ソルトは撮影レンタル
みにとまとん,見積詳細まとめ（みにとまとん）.xlsx,みにとまとん 総菜&菓子 盛合わせセット,,帆立しょうゆマドレーヌ×2/不苦労クッキー×1/あんかけ焼きそばクッキー×2/にしんクラッカー×1/スープカレークッキー×2/カニクリームコロッケタルト×1/寿司ガリクッキー×1/ゆきまる×2/そば粉のフィナンシェ×2/かぼちゃクッキー×2/みたらしパイ×2/ワインレーズンとココナッツのクッキー×2/箱代込（計21個）,,3500,税込,5000,税込,,,産直別途,,,,,,,,北海道小樽市,,,,商事仕入=一般売値の7掛け。いずれも税込・送料別・箱代込。買取（6月末締め7月末払い）。にんにくオイル&ソルトは撮影レンタル
みにとまとん,見積詳細まとめ（みにとまとん）.xlsx,にんにくオイルとガーリックソルト（化粧箱入り）,,にんにくオイル＋ガーリックソルト 化粧箱入り（計2点）,,2170,税込,3100,税込,,,産直別途,,,,,,,,北海道石狩市,,,,商事仕入=定価の7掛け。税込・送料別・箱代込。撮影は外観のみ（レンタル・撮影後返却）
