仕入先,出典ファイル,商品名_見積準拠,EEZO商品名,規格内容,温度帯,仕入単価_値,仕入単価_税区分,参考上代_値,参考上代_税区分,箱代等_値,箱代等_税区分,仕入送料区分,内容量,賞味期限,保存方法,発注ロット,リードタイム,JANコード,アレルゲン,産地,商品特徴,税率_明記,想定販売価格_税込,備考
江戸屋,【江戸屋】EEZOむけ見積書 26.5.27.xlsx,doyell 静寂な夜を愉しむアイスクリーム（110501）,,リッチミルク80ml×4/甘酒ミルク80ml×3/あずきミルク80ml×3（計10個）,冷凍,3400,税抜,5000,税抜,,,送料込,80ml×10個,無,冷凍,,受注後3～5営業日,110501,,北海道帯広市,濃厚なのにすっきりとしたミルク、上品な甘さのあずきミルク、上川大雪酒造とコラボした甘酒ミルクのセット。箱18.2×25.7×16.1cm/1.3kg,,,価格すべて税抜。卸価格・参考売価は送料込（全国一律、沖縄県・離島は配送不可）。返品不可。賞味期限ルール3分の2残存可。短冊のし対応可。弊社送料負担配送はヤマト運輸
江戸屋,【江戸屋】EEZOむけ見積書 26.5.27.xlsx,doyell 夕暮れのchouchouflan（440310）,,クリーム×2/キャラメル&クリーム×2/ピスタチオ×1/ストロベリー×1（計6個）,冷凍,3400,税抜,5000,税抜,,,送料込,6個,製造後30日,冷凍,,受注後3～5営業日,440310,,北海道帯広市,なめらかな食感、卵のコクとミルクのやさしい甘さのプリンに4種のクリームをトッピング。箱21.6×18.1×7.7cm/0.8kg,,,価格すべて税抜。卸価格・参考売価は送料込（全国一律、沖縄県・離島は配送不可）。返品不可。賞味期限ルール3分の2残存可。短冊のし対応可。弊社送料負担配送はヤマト運輸
