仕入先,出典ファイル,商品名_見積準拠,EEZO商品名,規格内容,温度帯,仕入単価_値,仕入単価_税区分,参考上代_値,参考上代_税区分,箱代等_値,箱代等_税区分,仕入送料区分,内容量,賞味期限,保存方法,発注ロット,リードタイム,JANコード,アレルゲン,産地,商品特徴,税率_明記,想定販売価格_税込,備考
上川大雪,260601御見積書・規格書.pdf,上川R 純米 720ml,,清酒/純米酒 720ml 精米歩合70% アルコール15度,,1350,税抜,1800,税抜,,,産直別途,720ml,,,,,4573522079053,,北海道,「上川」ブランドを支える味わいの土台となる純米酒。70%精米ながら雑味なく味わえる飲まさる酒。原料米：北海道産酒造好適米,,,弊社庫前渡し。北海道内のみ送料元払い、道外は弊社基準送料を別請求。化粧箱なし（純米大吟醸はオリジナル化粧箱付）。別途資材：2本用セット箱350円/1本用化粧箱200円/セット組作業料100円（いずれも税抜）。夏季（～9月頃）は品質保持のため全品クール便（一律330円税込/個口）。出荷単位12本/ケースだがEC1本単位可
上川大雪,260601御見積書・規格書.pdf,上川R 純米吟醸 720ml,,清酒/純米酒 720ml 精米歩合55% アルコール16度,,1950,税抜,2600,税抜,,,産直別途,720ml,,,,,4573522079237,,北海道,ほのかながら心地よい香りと、しっかり骨格を感じる味わい。きめ細やかな酸が箸と盃を進める純米吟醸酒,,,弊社庫前渡し。北海道内のみ送料元払い、道外は弊社基準送料を別請求。化粧箱なし（純米大吟醸はオリジナル化粧箱付）。別途資材：2本用セット箱350円/1本用化粧箱200円/セット組作業料100円（いずれも税抜）。夏季（～9月頃）は品質保持のため全品クール便（一律330円税込/個口）。出荷単位12本/ケースだがEC1本単位可
上川大雪,260601御見積書・規格書.pdf,上川R 純米大吟醸 720ml,,清酒/純米酒 720ml 精米歩合45% アルコール16度 オリジナル化粧箱付,,2850,税抜,3800,税抜,,,産直別途,720ml,,,,,4573522079329,,北海道,気品ある華やかな香り、調和のとれた上品な味わいを併せもつ純米大吟醸酒。オリジナル化粧箱付（箱入り状態で納品）,,,弊社庫前渡し。北海道内のみ送料元払い、道外は弊社基準送料を別請求。化粧箱なし（純米大吟醸はオリジナル化粧箱付）。別途資材：2本用セット箱350円/1本用化粧箱200円/セット組作業料100円（いずれも税抜）。夏季（～9月頃）は品質保持のため全品クール便（一律330円税込/個口）。出荷単位12本/ケースだがEC1本単位可
上川大雪,260601御見積書・規格書.pdf,上川R 特別純米 720ml【限定商品】,,清酒/純米酒 720ml 精米歩合60% アルコール16度,,1650,税抜,2200,税抜,,,産直別途,720ml,,,,,4573522079619,,北海道,広大な北海道の空気と水を感じる地酒。穏やかな香りと飲み口すっきりした特別純米酒,,,【EC通販には転用しない（受注生産・5ケース以上・レギュラー化不可スポット商品）】。弊社庫前渡し。北海道内のみ送料元払い、道外は弊社基準送料を別請求。化粧箱なし（純米大吟醸はオリジナル化粧箱付）。別途資材：2本用セット箱350円/1本用化粧箱200円/セット組作業料100円（いずれも税抜）。夏季（～9月頃）は品質保持のため全品クール便（一律330円税込/個口）。出荷単位12本/ケースだがEC1本単位可
